,Wake,Light,Deep,REM
527,69,185,55,28
528,65,312,53,96
529,100,402,85,110
530,64,348,76,116
531,60,370,111,125
532,82,343,91,135
533,66,390,110,154
534,53,326,43,82
535,72,263,92,110
536,58,220,46,37
537,65,429,115,114
538,0,0,0,0
539,54,306,30,83
540,71,280,63,74
541,80,427,103,188
542,92,311,60,100
543,75,365,81,49
544,97,444,62,78
545,57,269,93,137
546,91,426,51,132
547,106,395,77,99
548,59,389,74,142
549,60,255,77,101
550,68,401,53,110
551,51,288,51,113
552,48,334,43,99
553,70,333,78,99
554,49,277,58,105
555,62,351,54,66
556,29,176,35,78
557,56,258,79,125
558,38,208,44,68
559,38,214,65,62
560,33,188,62,107
561,0,0,0,0
562,0,0,0,0
563,0,0,0,0
564,66,358,79,91
565,79,380,85,120
566,58,371,70,133
567,77,278,42,127
568,0,0,0,0
569,28,220,40,74
570,66,355,46,85
571,48,270,67,101
572,53,301,64,112
573,51,325,85,134
574,37,177,71,86
575,36,217,43,65
576,57,255,57,134
577,27,170,57,47
578,32,159,60,84
579,40,315,57,103
580,60,317,44,76
581,0,0,0,0
582,39,204,26,77
583,19,137,26,61
584,64,427,83,100
585,0,0,0,0
586,42,224,13,57
587,0,0,0,0
588,24,189,49,53
589,0,0,0,0
590,0,0,0,0
591,0,0,0,0
592,0,0,0,0
593,0,0,0,0
594,0,0,0,0
595,0,0,0,0
596,0,0,0,0
597,0,0,0,0
598,0,0,0,0
599,0,0,0,0
600,0,0,0,0
601,0,0,0,0
602,0,0,0,0
603,0,0,0,0
604,0,0,0,0
605,0,0,0,0
606,0,0,0,0
607,0,0,0,0
608,0,0,0,0
609,0,0,0,0
610,0,0,0,0
611,0,0,0,0
612,0,0,0,0
613,0,0,0,0
614,0,0,0,0
615,0,0,0,0
616,0,0,0,0
617,0,0,0,0
618,0,0,0,0
619,0,0,0,0
620,0,0,0,0
621,0,0,0,0
622,0,0,0,0
623,0,0,0,0
624,0,0,0,0
625,0,0,0,0
626,0,0,0,0
627,0,0,0,0
628,0,0,0,0
629,0,0,0,0
630,0,0,0,0
631,0,0,0,0
632,0,0,0,0
633,0,0,0,0
634,0,0,0,0
635,0,0,0,0
636,0,0,0,0
637,0,0,0,0
638,0,0,0,0
639,0,0,0,0
640,0,0,0,0
641,0,0,0,0
642,0,0,0,0
643,0,0,0,0
644,0,0,0,0
645,0,0,0,0
646,0,0,0,0
647,0,0,0,0
648,0,0,0,0
649,0,0,0,0
650,0,0,0,0
651,0,0,0,0
652,0,0,0,0
653,0,0,0,0
654,0,0,0,0
655,0,0,0,0
656,0,0,0,0
657,0,0,0,0
658,0,0,0,0
659,0,0,0,0
660,0,0,0,0
661,0,0,0,0
662,0,0,0,0
663,0,0,0,0
664,0,0,0,0
665,0,0,0,0
666,0,0,0,0
667,0,0,0,0
668,0,0,0,0
669,0,0,0,0
670,0,0,0,0
671,0,0,0,0
672,0,0,0,0
673,0,0,0,0
674,0,0,0,0
